l1_category,revenue,total_qty,profit,profit_margin
Pharma Needs,890319.3600000001,10245.0,125140.88455199996,0.14055729907075135
Feeding Accessories,847382.5989999998,4703.0,194958.46922699997,0.23007136263722122
Home Decor,812066.908,4306.0,356490.760326,0.4389918574615775
Skin Treatment,805846.3129999998,8134.0,105229.87072399998,0.13058305166434384
Snacks & Munchies,799511.3770000001,4330.0,200270.987896,0.250491729895671
Supplements,786652.7860000001,4272.0,-14611.186981999997,-0.018573870508099867
Appliances,689138.0129999998,1092.0,129545.38523999996,0.18798177258580567
"Sausage, Salami & Ham",621165.469,3782.0,100552.593603,0.16187730745058526
Mutton,606232.867,1370.0,98592.45091000001,0.16263131921219312
Cleaning Needs,573090.3770000001,2088.0,97971.83290599997,0.170953547359948
Candles,539211.905,3020.0,228069.627389,0.42296845687967516
Beverages,532917.228,8226.0,130534.530319,0.24494334853629465
Shoe Polish & Brush,473543.6419999998,6356.0,35067.36528599999,0.07405308017206998
Precious Coins & Jewellery,421020.275,526.0,25974.43983,0.061694035590091234
Pet Supplement,316791.65300000005,787.0,41453.76643000001,0.13085498319616395
Baby Gift Set,311598.6,547.0,40591.345019999986,0.13026805967677643
Sports & Fitness,296560.75,833.0,77379.50634999998,0.26092295204270954
Pet Grooming & Accessories,247583.751,455.0,16635.29823,0.06719058970069486
Party Essentials,244097.604,1333.0,86491.93644500003,0.35433341019193304
Mother Care,205820.26899999997,416.0,-1269.4251199999999,-0.0061676390093533505
Hand & Foot Care,182210.846,1628.0,11809.496597999992,0.0648122592987686
Biscuit Gift Packs,151616.489,1704.0,12356.124295999985,0.08149591365356036
Machine & Car Care,121936.33499999999,717.0,29489.549830000007,0.24184382637054008
Plant Based Meat,99242.43299999999,305.0,29071.303829999968,0.2929321959488838
Paan,47833.406,426.0,10554.585740000006,0.22065302521003846
Bags,43243.0,73.0,12420.279949999995,0.2872205894595656
Smoking Cessation,29987.888,217.0,6958.6976300000015,0.23205027409732895
Munchies Gift Packs,5874.0,10.0,932.0800899999999,0.15867893939393937
Exotic Meat,1432.0,6.0,191.27999999999997,0.1335754189944134
gift cards,357.0,3.0,-193.5003,-0.5420176470588236
Free Store,226.0,43818.0,-11094.810348000005,-49.092081185840726
Freebie,218.0,59660.0,-806122.1592279999,-3697.8080698532103
Bill Breaker,33.0,10.0,10.08,0.3054545454545455
