l1_category,revenue,cost,profit,qty,profit_margin,revenue_crore,profit_crore,qty_crore
Rusks & Wafers,10691194.129999999,9999034.806007,692159.3239930002,172699.0,0.06474106779623132,1.069119413,0.06921593239930002,0.0172699
Antiseptic Liquid,3942891.481,3289057.7189219994,653833.7620780002,21213.0,0.16582595925571206,0.39428914810000004,0.06538337620780002,0.0021213
Electronic Accessories,2127927.1169999996,1477862.0949029992,650065.022097,7018.0,0.3054921462787112,0.21279271169999997,0.0650065022097,0.0007018
Flour,9057423.278,8427280.184465999,630143.0935340002,82814.0,0.06957200455283837,0.9057423278000001,0.06301430935340002,0.0082814
Chocolate Spreads,6858376.365,6248381.333233999,609995.0317660001,22689.0,0.08894160939883038,0.6858376365000001,0.06099950317660001,0.0022689
Lights,1745473.632,1197798.656391,547674.975609,7904.0,0.3137686903820269,0.1745473632,0.0547674975609,0.0007904
Baby Skin Care,4272315.183,3734548.863618998,537766.3193810001,18738.0,0.12587234235920372,0.4272315183,0.05377663193810001,0.0018738
Mouth Fresheners,1850046.3550000004,1341071.3096670005,508975.0453330001,23686.0,0.2751147526425088,0.18500463550000004,0.050897504533300005,0.0023686
Fresheners,14649052.306999998,14155011.150271002,494041.15672900004,107436.0,0.033725127494624633,1.4649052307,0.049404115672900005,0.0107436
Cream & Whitener,8217621.623999999,7738708.582978001,478913.04102200025,75673.0,0.05827878952509925,0.8217621623999999,0.04789130410220002,0.0075673
Laundry Additives,13297923.429000001,12827184.783606999,470738.6453930003,73492.0,0.03539941013394748,1.3297923429,0.04707386453930003,0.0073492
Hair Oil & Serum,16292105.872000001,15821371.530375995,470734.341624,100953.0,0.028893400602865906,1.6292105872000002,0.0470734341624,0.0100953
"Dry Fruits, Nuts & Seeds",3928154.2729999996,3459008.7677970007,469145.5052029998,26005.0,0.11943153771420113,0.39281542729999996,0.04691455052029998,0.0026005
Oil & Ghee,6854661.424,6392090.705808001,462570.71819199977,18691.0,0.06748265006531412,0.6854661423999999,0.046257071819199976,0.0018691
Salad Dressings,3087985.3180000004,2633747.8791569998,454237.43884300004,34077.0,0.14709831558953027,0.30879853180000005,0.045423743884300004,0.0034077
Kids Toys & More,1651952.456,1242013.612738999,409938.8432609999,5817.0,0.2481541413447312,0.1651952456,0.04099388432609999,0.0005817
