brand_name,revenue,cost,profit,qty,profit_margin,revenue_crore,profit_crore,qty_crore
Grameen,4190087.000000001,3461655.9780149986,728431.0219850003,56465.0,0.17384627621932436,0.41900870000000007,0.07284310219850003,0.0056465
Whiskas,8178754.362,7459064.549415,719689.8125850002,29154.0,0.08799503943153149,0.8178754362,0.07196898125850001,0.0029154
Kurkure,6988920.343999998,6273477.956677,715442.3873230001,293232.0,0.10236808435471852,0.6988920343999998,0.07154423873230001,0.0293232
Rishta,3778158.309,3074562.003362002,703596.3056380001,40245.0,0.18622732243960086,0.3778158309,0.07035963056380001,0.0040245
Baskin Robbins,2912223.613,2221075.4937419994,691148.1192579996,27138.0,0.2373265968220139,0.2912223613,0.06911481192579996,0.0027138
MeatKart,3548966.6319999998,2863188.2221,685778.4099,22109.0,0.19323326506271868,0.35489666319999996,0.06857784099,0.0022109
Satyam,3079867.727999999,2394334.478671999,685533.2493279999,55512.0,0.22258528932772403,0.3079867727999999,0.06855332493279999,0.0055512
Nongshim,2750191.3819999993,2066153.910029,684037.4719710001,23496.0,0.2487235893647347,0.2750191381999999,0.0684037471971,0.0023496
Kissan,18148998.854999997,17474798.616684996,674200.2383149998,154776.0,0.0371480677089392,1.8148998854999996,0.06742002383149999,0.0154776
Piknik,1930252.7159999993,1256410.0124410007,673842.7035589998,37025.0,0.34909558627918025,0.19302527159999994,0.06738427035589999,0.0037025
Vadilal,2277196.5279999995,1603452.033136,673744.4948639999,15474.0,0.29586576590107994,0.22771965279999995,0.06737444948639999,0.0015474
Gopaljee Ananda,8666851.0,7995601.328720001,671249.6712800002,17405.0,0.07745023784071058,0.8666851,0.06712496712800002,0.0017405
O'range,2190978.683,1526996.776827,663981.9061730003,29556.0,0.30305265465378345,0.21909786830000003,0.06639819061730004,0.0029556
Walton,1636436.0330000003,978608.3159919995,657827.717008,7048.0,0.40198804214915496,0.16364360330000002,0.0657827717008,0.0007048
UPF,3043237.2420000006,2393577.962587,649659.2794130001,22043.0,0.21347638312484873,0.30432372420000003,0.0649659279413,0.0022043
Yoga Bar,4188339.703000001,3540458.6582790026,647881.0447209999,39791.0,0.15468684267824293,0.41883397030000014,0.06478810447209998,0.0039791
Godrej Aer,5904881.804,5258317.18561,646564.6183899996,33442.0,0.10949662327737249,0.5904881804,0.06465646183899997,0.0033442
RiteBite,7009314.047000001,6363704.548257996,645609.4987419995,141804.0,0.09210737233528886,0.7009314047000001,0.06456094987419995,0.0141804
Delfrez,2700453.59,2065655.3877179993,634798.2022819999,41929.0,0.23507095423995045,0.270045359,0.06347982022819999,0.0041929
Oleev,8738321.645,8105075.190629997,633246.45437,13684.0,0.07246774381809792,0.8738321645,0.063324645437,0.0013684
Nestle a+,6262767.341,5632683.792525,630083.5484749997,99340.0,0.10060784860233876,0.6262767341,0.06300835484749998,0.009934
Sunpure,7988821.962,7359258.954937999,629563.0070619998,39311.0,0.0788054872240999,0.7988821962,0.06295630070619998,0.0039311
Raw,1320011.1490000002,692282.4844190001,627728.6645810001,8991.0,0.4755480020426706,0.13200111490000002,0.06277286645810001,0.0008991
