brand_name,revenue,total_qty,profit,profit_margin
Sensodyne,4459126.069,31964.0,248192.23020599995,0.05565938849126536
Doritos,4422068.739,78171.0,376829.796782,0.08521572572099269
Polyset,4395175.172,26409.0,1862456.3282459998,0.4237501931916173
Eveready,4380982.335,39495.0,1275993.404055,0.29125737254427897
Unibic,4352991.4399999995,43131.0,849558.6846660003,0.19516663342347404
Savlon,4350171.619000001,30598.0,457857.24865199986,0.10525038751396437
Parle Platina,4243033.668,75178.0,-665657.3484490002,-0.15688241021258853
Grameen,4190087.000000001,56465.0,728431.0219850003,0.17384627621932436
Pringles,4188619.076000001,38685.0,319037.719892,0.07616775698702852
Yoga Bar,4188339.703000001,39791.0,647881.0447209999,0.15468684267824293
Nutrela,4124994.553000001,56939.0,815608.4657490001,0.19772352551491962
Sofy,4119687.3869999996,14209.0,312497.06886600005,0.07585455873474996
Popular Essentials,4092288.005,14857.0,611664.6996229999,0.14946765693804093
Mountain Dew,4063463.3940000003,79658.0,15251.771230000024,0.003753392057750631
Sunsilk,4016971.1869999995,13479.0,-614659.057397,-0.1530155504690206
Bauli,4007966.888,153929.0,428479.71326499985,0.10690699929380251
Wheel,3999256.2839999995,71896.0,400834.83142,0.10022734302466124
Nestle Everyday,3981960.6220000004,17483.0,214708.81609000007,0.053920376536059085
Nestle NAN PRO,3973818.102,5930.0,434523.0120200001,0.10934647758570205
Gulab,3968168.2929999996,32307.0,353201.6463169998,0.08900873658510426
Veet,3951746.5279999995,29676.0,581271.3767260001,0.1470922723933371
Heritage,3942218.946999999,76806.0,381542.9412529999,0.09678380282336965
Johnson's,3901155.793,25766.0,347639.11783500004,0.08911182641277306
Figaro,3899660.3079999997,9774.0,394001.00457000016,0.10103469878176892
Nestea,3867169.942,21301.0,123696.78818500006,0.03198638540333381
Britannia Marie Gold,3840410.411000001,42407.0,218813.16112000006,0.05697650451453273
Britannia Treat,3834377.799,97701.0,384966.3298339998,0.10039864353856796
Genteel,3827362.8239999996,13238.0,95179.74010999998,0.02486823028983886
Batter Chatter,3813426.885,127890.0,1053679.4866299997,0.27630777209197754
Bonn,3789711.6449999996,98024.0,944543.5718899999,0.24923890268437562
Crystal,3781978.8800000004,41960.0,1707306.358891,0.45143201828007035
Rishta,3778158.309,40245.0,703596.3056380001,0.18622732243960086
Ferrero Rocher,3766129.9420000003,13607.0,460985.91965000005,0.12240308400118395
Gold Winner,3732055.9899999998,19346.0,180744.69930799998,0.04843032896406251
Brooke Bond Taaza,3728173.577,22659.0,172632.20925799993,0.04630476711787498
Origami,3727626.325,20166.0,1387879.7748750001,0.37232266699237887
Conscious Food,3684683.1540000006,19178.0,581882.7139570005,0.1579193351605614
Bingo,3682645.638,176477.0,-288164.5396249999,-0.07824932615061453
Lion,3682186.9530000007,20386.0,626169.9935100001,0.1700538298306224
Classmate,3672841.2079999996,58818.0,804228.5463559997,0.21896632628828852
Exo,3639764.615,53521.0,-10839.173856999932,-0.002977987590826648
Wintex,3610944.202,33239.0,1690939.852879,0.4682819114021302
Pril,3595820.833999999,18676.0,-172816.560556,-0.04806039247616197
MeatKart,3548966.6319999998,22109.0,685778.4099,0.19323326506271868
Lijjat,3529430.99,52443.0,542071.6184850001,0.153586121961546
Wow Skin Science,3509128.6080000005,14626.0,-624005.7516410002,-0.17782356286925807
Amul Kool,3501746.4150000005,127697.0,357695.62299500016,0.10214778016557208
GTS,3495351.7179999994,7120.0,331020.30201,0.09470300236320883
Parle Monaco,3455380.213999999,36513.0,-140822.97063200004,-0.04075469612907845
Lux,3380350.2959999987,20357.0,-279610.79699000006,-0.08271651530341877
Chheda's,3370940.1410000008,47325.0,1024861.4605299992,0.3040283771476199
Sofit,3353519.199,37359.0,93907.60594400001,0.028002704136002178
Duracell,3340219.4660000005,23942.0,443209.88853300025,0.13268885264708538
Lipton,3312569.04,20181.0,149414.98830800003,0.045105471464528334
Oreo,3311195.9290000005,73141.0,388095.04842199996,0.11720691156418726
Mr Muscle,3298270.9289999995,31439.0,474703.70724099985,0.14392501933882215
Society,3276220.7450000006,13461.0,268159.4297810001,0.08185023252485388
Clinic Plus,3265140.5440000007,12211.0,-311577.98446999985,-0.09542559662326125
Coolberg,3260671.3559999997,41964.0,329176.7593539999,0.10095367591961633
Valencia,3208898.8510000003,35355.0,915657.355986,0.28534939819017685
Safe Harvest,3181056.9960000003,31658.0,303425.94728500006,0.095385259574582
Karachi Bakery,3173443.4400000004,17394.0,566384.7351599999,0.17847639192838421
Park Avenue,3146768.956,18239.0,-51180.30296999999,-0.01626439808121712
Jimmy's Cocktails,3137931.084,24420.0,326877.1637720002,0.10416964395385052
Nestle Cerelac,3120430.204,11842.0,352310.8179,0.11290456599490088
Leonardo,3105628.0,2124.0,394218.3198100001,0.12693674831950255
Disano,3104142.9729999998,29204.0,425857.3683530001,0.1371899980307383
Satyam,3079867.727999999,55512.0,685533.2493279999,0.22258528932772403
UPF,3043237.2420000006,22043.0,649659.2794130001,0.21347638312484873
Bingo Tedhe Medhe,2997774.852,145673.0,-181273.602165,-0.0604693851654874
Cadbury Oreo,2949956.6260000006,35792.0,32369.655519000036,0.010972925918199594
GRB,2915463.2970000003,11946.0,348212.9423099999,0.11943657211130375
Baskin Robbins,2912223.613,27138.0,691148.1192579996,0.2373265968220139
Gold Flake,2886982.046,8886.0,209705.31545000008,0.07263824717599233
Sunfeast,2882453.316,77650.0,175129.64160800003,0.06075714761307171
Lakme,2840551.7389999996,16089.0,131351.042685,0.0462413836303652
Shasha,2807471.365,55143.0,1005476.3016010004,0.3581430301074505
4700BC,2764334.109,39235.0,319974.18540800014,0.11575090882330104
Britannia Little Hearts,2761796.12,180032.0,276797.2789079999,0.10022364681575406
Pond's,2760841.3520000004,13282.0,-45993.233758999995,-0.01665913679744101
Nongshim,2750191.3819999993,23496.0,684037.4719710001,0.2487235893647347
